compound,sentence_type,sentence,image_name,image_caption,label
field work,idiomatic,One of the highlights of the Mississippi Freedom Project happened during our first year of oral history field work in the town of Indianola.,78594158224.png,"The image depicts a serene agricultural scene with two farmers and two oxen working in a field. The background features a large tree with green foliage, and the ground is covered with brown soil and scattered small plants. The sky is clear, and there are a few birds flying around. The overall atmosphere of the image is peaceful and indicative of traditional farming practices.",0
field work,idiomatic,One of the highlights of the Mississippi Freedom Project happened during our first year of oral history field work in the town of Indianola.,13420702948.png,"The image depicts a cartoon character dressed as a construction worker. The character is wearing an orange hard hat, a plaid shirt, and green pants with a tool belt around their waist. They are holding a large pipe or hose in their right hand, which has a nozzle at one end. The character also has a small tool bag hanging from their belt, containing various tools. The overall appearance suggests that the character is involved in construction or plumbing work.",0
open book,idiomatic,"Our conversation was wide-ranging and candid as, unlike other CEOs, Rénier was an open book and willing to speak about anything that came her way.",34251825412.png,"The image depicts a cartoon-style illustration of a young man sitting at a table, engaged in a conversation with another person who is not visible in the frame. The young man has dark hair and is wearing an orange shirt with a white stripe down the front, black pants, and black shoes. He is seated on a brown chair with a black frame. \n\nA speech bubble above his head contains a smaller cartoon character of a doctor, who is also wearing a white coat and has a stethoscope around his neck. The doctor appears to be smiling and gesturing with both hands, indicating that he is speaking or explaining something. The background is plain white, which helps to focus attention on the characters and their interaction. The overall scene suggests a friendly and informative conversation between the young man and the doctor.",1
open book,idiomatic,"Our conversation was wide-ranging and candid as, unlike other CEOs, Rénier was an open book and willing to speak about anything that came her way.",06126366716.png,"The image depicts an open book placed on a wooden table. The book is positioned in such a way that the pages are fanned out, revealing the text and margins inside. The cover of the book is black with an orange bookmark or tab at the center where the pages meet. The background features a serene outdoor scene with green trees and grass, suggesting a peaceful, natural setting. The overall atmosphere of the image is calm and inviting, evoking a sense of relaxation and intellectual pursuit.",0
open book,idiomatic,"Our conversation was wide-ranging and candid as, unlike other CEOs, Rénier was an open book and willing to speak about anything that came her way.",59859593427.png,"The image depicts a modern smartphone with a sleek design. The phone has a black front screen with rounded corners and a small notch at the top, likely for housing the front-facing camera and sensors. The body of the phone is predominantly orange, with a glossy finish that reflects light, giving it a shiny appearance. The edges of the phone are smooth and curved, contributing to its contemporary look. The bottom part of the phone features several small holes, which could be for speaker grilles or other functional components. The overall design suggests a focus on aesthetics and modern technology.",0
eye candy,idiomatic,They gave me the impression that the development team has been focusing too much on eye candy rather than actual gameplay or level design.,29694722559.png,"The image depicts a person sitting on a brown couch, facing a large television screen. The television screen displays an intense action scene with a robot or mechanical figure in the midst of an explosion, surrounded by sparks and flames. The person is holding a remote control in their right hand, suggesting they are watching or controlling the content on the screen. Above the television, there is a webcam mounted on top. The overall setting appears to be a home entertainment or gaming environment.",1
eye candy,idiomatic,They gave me the impression that the development team has been focusing too much on eye candy rather than actual gameplay or level design.,50252230329.png,"The image depicts a bowl filled with numerous orange-colored objects that resemble eyeballs. Each object has a white center with a black pupil and a red rim around the pupil, giving them an eye-like appearance. The bowl is transparent, allowing the contents to be clearly visible. The background is plain white, which makes the vibrant orange color of the objects stand out prominently.",0
eye candy,idiomatic,They gave me the impression that the development team has been focusing too much on eye candy rather than actual gameplay or level design.,70654112428.png,"The image depicts a delicious-looking pizza with a slice being lifted out of the tray. The pizza is topped with melted cheese, pepperoni slices, black olives, and fresh basil leaves. The crust appears to be golden brown and slightly puffy, indicating it might be a hand-tossed or pan-style pizza. The cheese is gooey and stringy, stretching from the slice as it is lifted. The overall presentation suggests a mouth-watering and appetizing meal.",0
gravy train,idiomatic,It represented them having signed away their birthright so that they can join their fellow politicians on the gravy train.,65809438894.png,"The image depicts a cartoon-style illustration of a man sitting in an office chair with his feet propped up on a desk. He is dressed in a suit and tie, suggesting a professional setting. The desk has a few items on it, including a plant, some pens, and a small stack of papers. There is also a large pile of money on the floor next to the desk, indicating a significant amount of wealth or success. The overall scene conveys a sense of relaxation and financial prosperity.",1
gravy train,idiomatic,It represented them having signed away their birthright so that they can join their fellow politicians on the gravy train.,54540831700.png,"The image depicts a vintage steam locomotive traveling on a set of train tracks. The locomotive is primarily black with orange accents, including the front bumper, wheels, and the side of the caboose. The front of the locomotive features a large, round headlight and a smokestack emitting white smoke. The smokestack is black with a silver top.\n\nAttached to the locomotive is a single passenger car, which is also orange with black details. The passenger car has a large open compartment at the rear, filled with what appears to be a brown substance, possibly coal or another type of cargo. The compartment is open, allowing the contents to be visible.\n\nThe train is moving along the tracks, which are depicted in a simple, stylized manner with evenly spaced wooden ties and metal rails. The background is plain white, which helps to emphasize the details of the locomotive and the cargo car.\n\nThe overall design of the locomotive and the car suggests a classic or historical theme, likely inspired by early 20th-century rail transportation. The steam coming from the smokestack indicates that this is a steam-powered locomotive, which was commonly used before the widespread adoption of diesel and electric trains.\n\nIn summary, the image shows:\n- A vintage steam locomotive with black and orange colors.\n- A single passenger car attached to the locomotive.\n- The passenger car has an open compartment filled with a brown substance.\n- The train is moving on simple, stylized train tracks.\n- The background is plain white.\n\nThis detailed description should provide a comprehensive understanding of the image for any text-based model to answer related questions.",0
gravy train,idiomatic,It represented them having signed away their birthright so that they can join their fellow politicians on the gravy train.,98011817158.png,"The image depicts a cartoon-style illustration of a large truck parked on a street. The truck is predominantly white with orange accents, including the front bumper and the side panels. It has a boxy cargo area at the back, which is also white. The truck features a prominent front grille and headlights, and there are small windows on the side for visibility. The wheels are detailed with visible spokes.\n\nSurrounding the truck, there is a wooden fence with a small sign that appears to have a smiling face on it. Behind the fence, there are two green bushes, one on each side of the truck. The background is plain, suggesting an open space or a simple setting without additional details. The overall style of the image is clean and simplistic, typical of children's illustrations or educational materials.",0
brain surgery,idiomatic,"The know-how necessary to keep physicians financially healthy might not be brain surgery, but it can be cumbersome and complicated.",14221797226.png,"The image depicts a cartoon-style illustration of a man sitting at a desk, deeply engrossed in reading or studying a book. The man has a beard and is wearing glasses. Above his head, there is a large question mark, indicating confusion or puzzlement. Surrounding the question mark are various symbols and characters that appear to be floating or emanating from his head, suggesting a brainstorming or thinking process. The man's expression and the surrounding elements convey a sense of intellectual curiosity and contemplation.",1
brain surgery,idiomatic,"The know-how necessary to keep physicians financially healthy might not be brain surgery, but it can be cumbersome and complicated.",77652241695.png,"The image depicts a cartoon illustration of a person in a white lab coat, wearing a surgical cap and goggles. The individual is performing a detailed operation on a brain model that is placed on a table. The brain model appears to be a realistic representation, with visible gyri and sulci. The person is using precision tools, including tweezers and a small knife, to work on the brain model. There are also other tools and equipment visible on the table, such as a pair of forceps and a small probe. The overall scene suggests a medical or scientific setting, possibly related to neurosurgery or brain research.",0
brain surgery,idiomatic,"The know-how necessary to keep physicians financially healthy might not be brain surgery, but it can be cumbersome and complicated.",14803973068.png,"The image depicts a bowl containing four scoops of ice cream. The bowl is white and has a slightly curved shape, sitting on a flat base. Inside the bowl, there are four distinct flavors of ice cream:\n\n1. **Chocolate Ice Cream**: There are two scoops of chocolate ice cream. The texture appears smooth and creamy, with a rich, dark brown color typical of chocolate-flavored ice cream.\n\n2. **Vanilla Ice Cream**: One scoop of vanilla ice cream is present. It has a light beige color and a smooth, creamy texture. The surface is slightly marbled, indicating it might have some vanilla swirls or toppings.\n\n3. **Strawberry Ice Cream**: Another scoop of ice cream is strawberry-flavored. This scoop has a bright pink color with visible chunks of strawberries embedded in it, giving it a textured appearance.\n\n4. **Orange Ice Cream**: The fourth scoop is orange-flavored. It has an orange hue and is sprinkled with small, dark chocolate chips, adding a contrasting texture to the smooth ice cream.\n\nThe arrangement of the ice cream scoops in the bowl is random, with each flavor clearly distinguishable. The overall presentation is appetizing and colorful, making it visually appealing.",0
lounge lizard,idiomatic,"Barry was the first, an archetypal lounge lizard in his shiny suit and overpowering aftershave; I met him in my local nightclub.",60914711661.png,"The image depicts a person sitting in an ornate, vintage-style armchair. The individual is dressed in a formal, Victorian-era outfit, which includes a black coat with gold buttons, a white shirt, and a red cravat. The coat has a high collar and is adorned with various accessories such as a watch chain and a small pocket square. The person is also wearing brown trousers and black shoes.\n\nThe armchair is elaborately carved with intricate designs, featuring floral patterns and ornamental details. It has a rich, dark wood finish and is upholstered in a fabric that appears to be velvet or a similar luxurious material. The chair's backrest is high and curved, providing ample support for the seated individual.\n\nIn one hand, the person holds a glass of what appears to be whiskey, while the other hand holds a lit cigar. The cigar is held between the fingers, and smoke is rising from it, indicating that it is being actively smoked. The person's posture is relaxed, with one leg crossed over the other, suggesting a sense of leisure or contemplation.\n\nThe overall scene conveys a sense of sophistication and luxury, reminiscent of the late 19th century. The combination of the elaborate furniture and the formal attire suggests that the setting might be a high-society gathering or a private, upscale residence. The attention to detail in both the clothing and the furniture highlights the meticulous craftsmanship typical of the Victorian era.",1
lounge lizard,idiomatic,"Barry was the first, an archetypal lounge lizard in his shiny suit and overpowering aftershave; I met him in my local nightclub.",90408626150.png,"The image depicts an imaginative scene featuring a large, black iguana with distinctive orange and white patterns on its body and tail. The iguana is comfortably lounging on a brown leather couch adorned with orange and beige patterned cushions. The couch has a classic design with rolled arms and decorative buttons.\n\nTo the left of the couch stands a lamp with a red and gold lampshade, which has intricate designs resembling flames or leaves. The lamp's base is dark brown, matching the couch's color scheme.\n\nAbove the couch hangs a framed painting. The frame is ornate and gold-colored, adding a touch of elegance to the scene. The painting itself features a whimsical depiction of a black iguana in a natural setting, surrounded by green foliage and flowers. The iguana in the painting appears to be in a similar relaxed pose as the one on the couch.\n\nThe overall atmosphere of the image is cozy and slightly fantastical, blending elements of nature with a touch of fantasy art. The combination of the realistic iguana and the decorative elements creates a unique and intriguing visual experience.",0
lounge lizard,idiomatic,"Barry was the first, an archetypal lounge lizard in his shiny suit and overpowering aftershave; I met him in my local nightclub.",89810040757.png,"The image depicts a muscular man performing an exercise with a barbell. He is holding the barbell at shoulder height, with his arms extended and elbows slightly bent. The man is wearing a sleeveless black shirt and black shorts with an orange waistband. His hair is short and neatly styled. The background is plain white, emphasizing the subject without any distractions. The barbell has large black plates on either end, indicating it is loaded with significant weight.",0
private eye,idiomatic,"If you want dirt, the private eye suggested, you should steal the man's garbage.",86990947307.png,"The image depicts two cartoon characters engaged in a transaction. The character on the left is wearing a brown suit, a white shirt, and a brown hat with a wide brim. He has a confident expression and is handing over a green banknote to the other character. The character on the right is also dressed in a brown suit and a white shirt, but he is bald and wears glasses. He is receiving the banknote with a neutral or slightly skeptical expression. Both characters have orange ties, and the scene appears to be set against a plain background.",1
private eye,idiomatic,"If you want dirt, the private eye suggested, you should steal the man's garbage.",42541218123.png,"The image depicts a person wearing a black short-sleeved top and black pants. The individual has long, dark hair and is covering their face with both hands. The background is plain and white.",0
private eye,idiomatic,"If you want dirt, the private eye suggested, you should steal the man's garbage.",37448041335.png,"The image depicts a walking cane or a similar type of stick. The cane has a curved top, which is orange in color and appears to be made of a material that resembles wood or leather. The handle of the cane is wrapped in black material, possibly leather or another textured fabric, giving it a rugged appearance. Near the middle of the cane, there is a decorative section with a pattern that includes small, colorful elements, possibly beads or stones, arranged in a circular design. This decorative section adds an artistic touch to the otherwise utilitarian object. The cane stands upright against a plain white background, emphasizing its design and details.",0
black sheep,idiomatic,"While DS9 was looked at as the black sheep of the Star Trek franchise for many years, it has found a renewed and dedicated fanbase thanks to Netflix.",80118206373.png,"The image depicts a cartoon-style family of three standing together. The father is wearing a brown suit with an orange tie, the mother is dressed in a white blouse and black pants, and the son is sitting on a motorcycle. The son is wearing a black shirt and sunglasses. The family appears to be happy and smiling.",1
black sheep,idiomatic,"While DS9 was looked at as the black sheep of the Star Trek franchise for many years, it has found a renewed and dedicated fanbase thanks to Netflix.",52872475612.png,"The image depicts a cartoon scene featuring a large group of white sheep and one black sheep standing in the foreground. The white sheep are all facing the same direction, looking towards the black sheep. The black sheep is positioned centrally and appears to be smiling, with its eyes wide open and ears perked up. The background is filled with numerous white sheep, creating a dense and uniform appearance. The overall style is whimsical and playful, with exaggerated features on the animals.",0
black sheep,idiomatic,"While DS9 was looked at as the black sheep of the Star Trek franchise for many years, it has found a renewed and dedicated fanbase thanks to Netflix.",85414168973.png,"The image depicts a serene and somewhat whimsical scene featuring a bird's nest situated in the crook of a bare, leafless tree. The tree has a twisted trunk and branches that extend outward, creating an intricate network of twigs. The nest is nestled within the branches, appearing to be made of twigs and grasses, providing a cozy and secure environment for its occupants.\n\nWithin the nest, there are six white eggs, neatly arranged in a circular pattern. The eggs are smooth and round, suggesting they are likely bird eggs, possibly from a species that lays white eggs, such as chickens or ducks. The eggs are evenly spaced, indicating careful placement by the bird.\n\nPerched on the edge of the nest is a small bird with vibrant orange plumage on its head and chest, transitioning to brown wings. The bird appears to be observing its surroundings or possibly guarding the nest. Its bright colors contrast sharply with the muted tones of the nest and the tree, drawing attention to its presence.\n\nThe background of the image is plain white, which helps to emphasize the details of the nest, the tree, and the bird. The ground beneath the tree is depicted in a light brown color, suggesting soil or earth, adding a touch of realism to the scene.\n\nOverall, the image conveys a sense of tranquility and natural beauty, capturing a moment in the life cycle of a bird, highlighting the nurturing aspects of nature. The simplicity of the background ensures that the focus remains on the nest, the eggs, and the bird, making it a captivating visual representation of a bird's home.",0
pain in the neck,idiomatic,"It usually causes high temperature and pain in the neck, jaw or ear.",86378892255.png,"The image depicts a cartoon character sitting at a desk, surrounded by a large pile of papers. The character appears to be overwhelmed or stressed, with a worried expression on their face. The desk is cluttered with various items, including a telephone, a cup, and a pen holder filled with pens. There is also a bee flying near the character, adding to the chaotic atmosphere. The overall scene suggests a busy or stressful work environment.",1
pain in the neck,idiomatic,"It usually causes high temperature and pain in the neck, jaw or ear.",08190047042.png,"The image depicts a person with dark hair styled in a bun, wearing a red top with small patterns. The person is holding their hand to the back of their neck, possibly indicating discomfort or a need for relief. The background is plain white, which helps to focus attention on the subject.",0
pain in the neck,idiomatic,"It usually causes high temperature and pain in the neck, jaw or ear.",59520456167.png,"The image depicts an elderly woman with short, gray hair wearing glasses. She is dressed in a brown jacket over a beige turtleneck sweater. The woman is holding a piece of paper in her hands and appears to be reading it with a smile on her face. Her nails are painted red. The background is plain white, which makes the subject stand out prominently.",0
big fish,idiomatic,"Earlier this year, the big fish at Mattel Inc. was asked by an American magazine to name his favourite gadget.",69957758831.png,"The image depicts a cartoon character standing on a black platform. The character is dressed in a professional outfit, consisting of a black blazer, a white shirt, and a red tie. They are also wearing black pants and red high heels. The character is holding a tablet in their right hand and has a confident and happy expression on their face. The background is plain white, which makes the character and the platform stand out prominently.",1
big fish,idiomatic,"Earlier this year, the big fish at Mattel Inc. was asked by an American magazine to name his favourite gadget.",68146501570.png,"The image depicts an underwater scene with two fish and some aquatic plants. The larger fish, which appears to be a shark, is characterized by its dark gray body with white underbelly and sharp teeth. It has a large, round eye and a wide mouth, giving it a somewhat comical expression. The shark is swimming near the bottom of the image, surrounded by bubbles.\n\nIn contrast, the smaller fish, which looks like a goldfish, is orange with a yellow belly. This fish is swimming near the surface of the water, close to some green aquatic plants. The plants have long, slender leaves and are positioned on either side of the goldfish, adding a touch of greenery to the scene.\n\nThe background is plain white, which helps to highlight the vibrant colors of the fish and the green plants. The overall composition suggests a playful and whimsical underwater environment.",0
big fish,idiomatic,"Earlier this year, the big fish at Mattel Inc. was asked by an American magazine to name his favourite gadget.",28669494669.png,"The image depicts a cartoon illustration of a baby sleeping in a stroller. The baby has brown hair and is wearing a white outfit with small, colorful patterns. The stroller is orange and black, with a padded seat and a safety harness. The baby's hands are resting on the stroller's handle, and the overall scene conveys a sense of tranquility and comfort.",0
red flag,idiomatic,"The biggest red flag of all, though, was that neither newspaper ever linked to the supposed study of violence in teenagers.",49339545808.png,"The image depicts a cartoon-style illustration of a woman sitting at a computer desk, pointing at a profile on the screen. The profile shows a person wearing a suit and tie, with a list of messages or interactions next to it. The woman appears to be surprised or excited, with her mouth open and her eyes wide. The overall scene suggests that she is interacting with a dating or social networking website.",1
red flag,idiomatic,"The biggest red flag of all, though, was that neither newspaper ever linked to the supposed study of violence in teenagers.",88424293285.png,"The image depicts a red flag waving on a black pole, planted firmly into the sandy beach near the shoreline. The flag is positioned slightly to the left of the center of the image and appears to be fluttering in the wind. The background shows a calm sea with gentle waves lapping at the shore. The sky is clear, suggesting a bright and sunny day. The overall scene conveys a sense of caution or warning, as red flags typically indicate dangerous conditions such as strong currents or rough waters.",0
red flag,idiomatic,"The biggest red flag of all, though, was that neither newspaper ever linked to the supposed study of violence in teenagers.",59390351123.png,"The image depicts a single strawberry placed on a flat surface. The strawberry is positioned slightly tilted, with its green leaves pointing upwards. The background is plain and light-colored, which helps to highlight the vibrant red color of the strawberry. The surface on which the strawberry rests appears to be smooth and flat, possibly made of wood or another similar material. The lighting in the image is soft, creating gentle shadows that give the strawberry a three-dimensional appearance. The overall composition is simple yet effective, drawing attention to the freshness and appeal of the strawberry.",0
hot air,idiomatic,"French men, proud of their prowess as lovers, may actually be all hot air, according to a study by the National Demographic Studies Institute.",29808225580.png,"The image depicts a cartoon-style illustration of a man speaking into a microphone. He is wearing a brown suit with a white shirt and an orange tie. The background features a group of identical men, all dressed in the same brown suits with orange ties, standing in a line. The man in the foreground appears to be addressing or presenting to the group. The overall scene suggests a formal or professional setting, possibly a speech or presentation.",1
hot air,idiomatic,"French men, proud of their prowess as lovers, may actually be all hot air, according to a study by the National Demographic Studies Institute.",48525665730.png,"The image depicts a vibrant scene of hot air balloons in flight. The central focus is on a large, orange and white striped hot air balloon with a bright flame at its base, which is illuminating the surrounding area. The basket of the balloon is filled with people, suggesting that they are enjoying a hot air balloon ride.\n\nIn the background, there are several other hot air balloons of various colors and designs floating in the sky. These balloons include red, white, and blue patterns, as well as some with solid colors like light blue and red. The sky appears to be clear, indicating good weather conditions for flying.\n\nThe overall atmosphere of the image is lively and adventurous, capturing the excitement of a hot air balloon ride. The bright colors and dynamic composition create a sense of movement and joy.",0
hot air,idiomatic,"French men, proud of their prowess as lovers, may actually be all hot air, according to a study by the National Demographic Studies Institute.",89737120781.png,"The image depicts a glass containing a liquid, likely water or a similar clear beverage, with a large ice cube floating in it. The glass is transparent and has a rounded shape, with a wide rim and a narrow base. The liquid inside the glass appears to be blue, suggesting it might be a cold drink or a beverage with a blue tint. The ice cube is centrally positioned and is surrounded by small droplets of water, indicating that the ice is melting slightly. The overall appearance of the image is clean and simple, with a focus on the glass and its contents.",0
panda car,idiomatic,I was on duty in a panda car when we had a call come in for a road traffic collision just around the corner.,77234021476.png,"The image depicts a black police car driving on a city street. The car has distinctive features such as a red and blue light bar on top, which is illuminated, indicating that it is in use. The vehicle also displays a badge on the door, which appears to be a police department insignia. The background shows a typical urban environment with multi-story buildings and trees lining the street. The overall scene suggests a dynamic and active situation, possibly involving law enforcement activity.",1
panda car,idiomatic,I was on duty in a panda car when we had a call come in for a road traffic collision just around the corner.,37054552617.png,"The image depicts an animated panda character driving a bright orange sports car. The panda is wearing a red and yellow racing suit, and it appears to be smiling and waving with one hand. The car has a sleek design with black wheels, a visible license plate, and a small logo on the front grille. The background is plain white, which makes the colorful characters stand out prominently.",0
panda car,idiomatic,I was on duty in a panda car when we had a call come in for a road traffic collision just around the corner.,72601419282.png,"The image depicts two cartoon animals: a lion cub and a snake. The lion cub is sitting on the left side of the image, facing the snake. The cub has a cheerful expression with wide eyes and a big smile, showing its teeth. It has brown fur with white spots, large ears, and a bushy tail. The snake is on the right side of the image, coiled up and looking at the lion cub. The snake has a dark body with orange and yellow markings and a slightly open mouth, showing its sharp teeth. Both characters appear to be in a friendly interaction, suggesting a playful or curious encounter between the two animals.",0
cold turkey,idiomatic,Braithwaite adds that in many cases going cold turkey can lead to relapse back to old habits – or worse ones.,90646251287.png,"The image depicts a person lying on the ground, seemingly in distress or pain. The individual is wearing a white shirt and dark pants. There are visible injuries on their arms and legs, with blood splatters around them. The scene appears to be chaotic, with various splatters of what looks like blood and other substances scattered around the person. The overall mood of the image is one of suffering or trauma.",1
cold turkey,idiomatic,Braithwaite adds that in many cases going cold turkey can lead to relapse back to old habits – or worse ones.,32437056738.png,"The image depicts a whimsical, cartoon-style bird character standing in a snowy environment. The bird has a large, round head with wide, expressive eyes and an orange beak. It is wearing a brown hat that appears to be covered in snow, adding to the wintry atmosphere. The bird also has a bright orange scarf wrapped around its neck, which is decorated with white fringes at the ends. The background features falling snowflakes and a light, snowy ground, enhancing the cold, winter setting. The overall color palette includes shades of brown, orange, and white, creating a cozy and festive feel.",0
cold turkey,idiomatic,Braithwaite adds that in many cases going cold turkey can lead to relapse back to old habits – or worse ones.,91804512023.png,"The image depicts an autumn scene in a forest. The trees are tall and have thin trunks, with branches that extend upwards and outwards. The leaves on the trees are mostly orange and red, indicating the fall season. The ground is covered with a layer of fallen leaves, predominantly in shades of orange and brown. The sky is overcast, giving the scene a somewhat misty and serene atmosphere. A person is walking away from the viewer, dressed in dark clothing, which contrasts with the vibrant colors of the leaves. The overall mood of the image is peaceful and contemplative, capturing the beauty of nature during the autumn season.",0
big wig,idiomatic,"He was married three times, was a mason, a championship level clay pigeon shooter and a big wig in the local Tory party.",94265143928.png,"The image depicts a cartoon character standing at a podium, holding a microphone in one hand and gesturing with the other. The character is dressed in a formal black suit with a white shirt and an orange tie. The podium is black and has a microphone attached to it. The background is plain and light-colored, which helps to emphasize the character and the podium. The character appears to be giving a speech or presentation.",1
big wig,idiomatic,"He was married three times, was a mason, a championship level clay pigeon shooter and a big wig in the local Tory party.",29869691296.png,"The image depicts an artistic and surreal scene featuring a person with an enormous, voluminous head of curly brown hair. The hair is so large that it obscures the person's face entirely, making them appear as if they have no head. The person is standing in front of a large, circular mirror that reflects their body, but not their head. The mirror is mounted on a tripod-like stand with three legs, each ending in a small wheel or caster.\n\nThe person is wearing a black and white striped shirt paired with black pants and black shoes. Their arms are raised, seemingly holding the hair up or adjusting it. The background of the image is plain white, which helps to emphasize the striking contrast between the person's large hair and the rest of their body.\n\nThis image is likely intended to be humorous or thought-provoking, playing with the idea of extreme hair volume and the distortion of perception caused by the large size of the hair relative to the person's body. The use of a mirror adds an element of reflection and further emphasizes the surreal nature of the scene.",0
big wig,idiomatic,"He was married three times, was a mason, a championship level clay pigeon shooter and a big wig in the local Tory party.",66170384579.png,"The image depicts a whimsical and imaginative scene featuring a character with long, dark hair wearing a large, polka-dotted hat adorned with orange butterflies and green leaves. The character is sitting on a grassy mound surrounded by various elements of nature.\n\n1. **Character Description**:\n   - **Hat**: The character wears a wide-brimmed hat that is brown with large white polka dots. The hat has a brown belt around the brim with a buckle.\n   - **Hair**: The character has long, dark hair that flows down past their shoulders.\n   - **Clothing**: The character is wearing an orange dress or top, which is visible at the bottom of the image.\n\n2. **Surroundings**:\n   - **Grass Mound**: The character is seated on a grassy mound that appears to be elevated slightly above the surrounding ground.\n   - **Mushrooms**: There are several mushrooms scattered around the grassy mound. These mushrooms have orange caps and brown stems.\n   - **Flowers**: Small red flowers are also present near the mushrooms.\n   - **Rocks**: There are a few rocks placed around the grassy mound, adding to the natural setting.\n   - **Butterflies**: Orange butterflies are flying around the hat, adding to the magical and playful atmosphere of the scene.\n   - **Clouds**: In the background, there are light gray clouds, suggesting a serene and peaceful sky.\n\n3. **Additional Elements**:\n   - **Bird**: A small bird is flying in the upper right corner of the image, further enhancing the sense of a lively, outdoor environment.\n   - **Butterfly on Hat**: A black butterfly is perched on the edge of the hat, adding a touch of elegance and whimsy to the scene.\n\nOverall, the image conveys a sense of fantasy and enchantment, with its detailed and colorful depiction of a character in a magical, natural setting. The use of vibrant colors and playful elements like butterflies and mushrooms creates a charming and inviting atmosphere.",0
bread and butter,idiomatic,"It's Steve's bread and butter, and has been for some time.",29490290047.png,"The image depicts two construction workers engaged in the process of building a brick wall. They are standing on a temporary metal scaffold structure, which is elevated above the ground level. The scaffold consists of horizontal and vertical metal bars that form a framework for the workers to stand on while they build the wall.\n\nThe workers are wearing safety gear, including orange hard hats and high-visibility vests. Their attire suggests adherence to safety protocols typically required in construction environments. Both workers appear to be focused on their tasks, with one worker on the left side of the image actively placing or adjusting bricks, while the other worker on the right side is also involved in the construction process, possibly securing the scaffold or handling tools.\n\nThe brick wall being constructed is made of red bricks, arranged in a standard pattern typical of masonry work. The bricks are laid in a staggered manner, ensuring structural integrity and stability. The scaffold is positioned against the wall, providing support and allowing the workers to reach higher sections of the wall safely.\n\nIn summary, the image captures a moment in the construction process where two workers are using scaffolding to build a brick wall. They are dressed in safety gear and are focused on their task, demonstrating the importance of safety and precision in construction work.",1
bread and butter,idiomatic,"It's Steve's bread and butter, and has been for some time.",47437883453.png,"The image shows three slices of toasted bread on a plate. The bread appears to be lightly browned and has a crispy texture, with visible holes in the crust. Two of the slices have a slice of cheese placed on top, which is melted and slightly oozing. The cheese has a smooth, yellowish appearance, indicating it might be a type of cheddar or mozzarella. There are small crumbs or bits of cheese scattered around the bread, suggesting that the cheese was recently melted and is now cooling down. The plate holding the bread is simple and round, with a neutral color that contrasts with the golden-brown bread and the bright yellow cheese.",0
bread and butter,idiomatic,"It's Steve's bread and butter, and has been for some time.",96897123911.png,"The image depicts a vibrant agricultural scene featuring a field of corn plants. The corn stalks are tall and robust, with large green leaves and yellow tassels at the top. The field is well-maintained, with the corn plants standing in neat rows. \n\nIn the foreground, there are small white flowers scattered across the ground, adding a touch of color to the earthy tones of the soil. The soil itself appears rich and fertile, indicative of good agricultural practices. \n\nTo the right side of the image, there is a tree with lush green foliage, providing a natural contrast to the agricultural setting. The background shows a continuation of the cornfield extending into the distance, with more trees visible on the horizon, suggesting a rural or semi-rural landscape.\n\nAbove the field, the sky is clear with a few scattered clouds, indicating fair weather conditions, which are ideal for plant growth. The overall scene conveys a sense of abundance and prosperity, typical of a thriving corn crop.\n\nThis detailed description should provide a comprehensive understanding of the image for any text-based model to answer related questions.",0
pig's ear,idiomatic,"Thus, when it wrote the new partition table it made a right pig's ear of it.",28970148854.png,"The image depicts a cartoon-style scene where a young girl is standing in front of a broken sink. The sink is spilling water, causing a large splash and damage to the surrounding tiles and wall. The girl is holding a wrench and appears to be surprised or concerned by the situation. There are various tools and items scattered around the sink area, including buckets and other repair equipment. The overall scene suggests that the girl is attempting to fix the sink but has accidentally caused more damage.",1
pig's ear,idiomatic,"Thus, when it wrote the new partition table it made a right pig's ear of it.",61623278645.png,"The image depicts the head and upper body of a pig, shown in profile. The pig has a light pinkish-brown fur coat with a slightly darker shade around its ears and snout. Its ears are large and pointed, standing upright. The pig's eyes are small and dark, giving it a somewhat inquisitive expression. The snout is long and curved, typical of pigs, and the nose is prominent and rounded. The background of the image is plain white, which helps to highlight the pig's features.",0
pig's ear,idiomatic,"Thus, when it wrote the new partition table it made a right pig's ear of it.",36371885530.png,"The image depicts a round, cylindrical bag with a drawstring closure. The bag is primarily composed of two distinct sections: the upper section is adorned with intricate floral embroidery, while the lower section is solid black. The floral embroidery features delicate, colorful flowers and leaves, predominantly in shades of orange, white, and black, creating a harmonious and aesthetically pleasing pattern. The flowers appear to be cherry blossoms, which are often associated with spring and beauty in various cultures.\n\nThe drawstring closure is made from a bright orange thread, which contrasts vividly against the neutral tones of the bag's fabric. The drawstring is tied into a neat bow at the top of the bag, adding a decorative element that complements the overall design. The fabric of the bag seems to be made of a smooth, possibly silk-like material, giving it a luxurious feel.\n\nThe bag's design suggests it could be used for various purposes, such as storing personal items, accessories, or even as a decorative piece. The combination of the floral embroidery and the solid black lower section creates a balanced look that is both elegant and functional.\n\nGiven the detailed embroidery and the choice of materials, this bag likely belongs to a higher-end market, possibly aimed at individuals who appreciate handcrafted, aesthetically pleasing items. The use of cherry blossoms in the embroidery might also indicate cultural significance, as cherry blossoms are commonly associated with the transient nature of life and beauty in Japanese culture.\n\nIn summary, the image showcases a beautifully designed round bag with floral embroidery on the upper section and a solid black lower section, secured with an orange drawstring. The bag combines functionality with artistic elegance, making it a versatile and visually appealing accessory.",0
